molecule_chembl_id,canonical_smiles,standard_value,bioactivity_classification
CHEMBL93793,Cc1cc(O)cc2c1S[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,5.5,active
CHEMBL420611,Oc1ccc2c(c1)SC(c1ccccc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,11.9,active
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6100.0,intermediate
CHEMBL77930,CCC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)cc1,1200.0,intermediate
CHEMBL103294,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,35.0,active
CHEMBL103294,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,3.1,active
CHEMBL418327,Oc1ccc(C2=C(c3ccc(OCCN4CCCCC4)cc3)Oc3ccc(O)cc3S2)cc1,1.6,active
CHEMBL418327,Oc1ccc(C2=C(c3ccc(OCCN4CCCCC4)cc3)Oc3ccc(O)cc3S2)cc1,5.1,active
CHEMBL71584,Oc1ccc([C@@H]2Sc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,1.8,active
CHEMBL71584,Oc1ccc([C@@H]2Sc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,5.0,active
CHEMBL93705,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1,4.1,active
CHEMBL93705,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1,5.4,active
CHEMBL100763,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,27.0,active
CHEMBL100763,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,3.3,active
CHEMBL103305,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,49.0,active
CHEMBL103305,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,4.5,active
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.8,active
CHEMBL90072,Oc1ccc([C@@H]2Sc3cc(O)c(Cl)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,5.4,active
CHEMBL90072,Oc1ccc([C@@H]2Sc3cc(O)c(Cl)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,14.8,active
